AwardNumber,Program(s),PrincipalInvestigator,Title,StartDate,Abstract
8719889,DIGITAL SOCIETY&TECHNOLOGIES,Jan Acton,PLANNING GRANT FOR THE ANALYSIS OF DEMAND AND PRICING OF COMPUTER SERVICES ( Computer and Information Science ),9/1/87,"This research is to undertake a preliminary examination of the growing use of NSF sponsored supercomputers and computers that may substitute for some or all of their functions . The goal is to develop a research plan leading to a better understanding of the determinants of demand for large-scale computing services and better pricing structures to make the most efficient use of the services and their alternatives . The researchers will review the extant literature on demand and pricing of computer services , develop a conceptual model of demand for supercomputing services , will develop pricing models appropriate to the use of supercomputing services , meet with knowledgeable individuals , and develop a full research plan . NSF has an interest in the pricing and demand for computers for several reasons . First , NSF supports university-based supercomputer centers . There soon may be demands for more computer time than these centers can supply and some price or non-price rationing scheme will be needed . Second , supercomputers may involve transferring large volumes of input or output between remote users and a central computer , so network congestion and usage charges may be significant . Third , NSF grants often include an element for computer usage ; so NSF has an added interest in efficient and equitable pricing policies for all types of computer services ."
8712688,CROSS-DIRECTORATE PROGRAMS,Kenneth Birman,Research Experiences for Undergraduates ( Computer and Information Science ),6/15/87,"This is an award resulting from a submission in response to Program Announcement NSF 86-81 , Research Experience for Undergraduates , 1987 . Under this award Cornell University will provide ten undergraduate students with training and support while they participate in ongoing research projects in the University 's Computer Science Department . The award recognizes the importance of hands-on experience in active research for training undergraduates for careers in mathematics , science and engineering , and that too few such experiences are now available . The University recruited some of the students from other institutions , in order to broaden the base for attracting students to scientific careers ."
8804801,CROSS-DIRECTORATE PROGRAMS,Kenneth Birman,Research Experiences for Undergraduates,6/1/88,"This is an award resulting from a submission in response to Program Announcement NSF 87-63 , Research Experience for Undergraduates , 1987 . Under this award Cornell University will provide ten undergraduate students with training and support while they participate in ongoing research projects in the University 's Computer Science Department . The award recognizes the importance of hands-on experience in active research for training undergraduates for careers in mathematics , science and engineering , and that too few such experiences are now available . The University recruited some of the students from other institutions , in order to broaden the base for attracting students to scientific careers ."
8813371,DIGITAL SOCIETY&TECHNOLOGIES,James Jordan,Information Processing in Interactive Organizations,8/15/88,"Most economic theories specify equilibrium relationships among economic variables , and , at least implicitly , the equilibrium information flows among economic decision-makers . However , the adjustment process which moves the system to an equilibrium position is usually not specified . This research proposes a method for analyzing a general class of such adjustment processes . The principal goal of this analysis is to determine the minimal communication and coordination among economic decision-makers needed to achieve equilibrium . This can be compared with the information flow generated by the economic institutions under study . If the latter is less than the former , equilibrium can not generally be achieved , and the equilibrium relationships can not reliably approximate actual economic behavior . This information analysis is proposed as a new source of discipline in the evaluation of economic models . When the convergence to equilibrium requires information which can not easily be communicated in an ongoing fashion , two directions of research are suggested . First , the additional information might be inferred from the historical behavior of observable variables , and this information might then be used in the design of the adjustment process . Second , the equilibrium concept might be changed to embody more modest optimality criteria . The latter approach is proposed specifically for the theory of the firm when communication is limited to accounting information ."
8704614,INFORMATION & KNOWLEDGE MANAGE,Tomasz Imielinski,Complexity Tailored Information Systems ( Computer and Information Science ),12/1/87,"This research explores a fundamental revision of the concept of deductive databases . The new approach , Complexity Tailored Information Systems , 1 ) allows a variety of possible answers to any given query , 2 ) produces answers determined both by the query and by the computational resources of the system , and 3 ) uses meaningful approximations to the precise answers , when determination of a precise answer would be impossible because of lack of time or computational resources . The significance of this research is that database systems will increasingly be required to function in real-time and draw on large knowledge resources to solve complex queries . Effective alternatives to exhaustive search and deduction will be vital ."
8722576,ROBOTICS,William Thompson,Moving Object Detection,7/15/88,"The detection of moving objects in the environment is important for a broad range of tasks involving activities such as locomotion , manipulation , and description . This proposal describes a line of research aimed at studying vision-based techniques for recognizing the presence of moving objects in the field of view . The solutions must have broad generality and good reliability ; the analysis specifically deals with problems associated with moving-object detection when the camera may also be moving . In the latter case , moving and stationary objects may both be changing position with respect to the camera , generating visual motion in the imagery . Significant preliminary work has been completed on the problem . The proposed work would build on the prior results by addressing three problems that are central to the development of a general understanding of detection of moving objects : ( 1 ) how can depth information be combined with visual motion ? ( 2 ) can existing structure-from-motion algorithms be extended to include the detection of motion while avoiding problems with numerical instability ? ( 3 ) can detectability thresholds be computed based on magnitudes of relative motion and noise , and how do various simplifying assumptions affect those thresholds ?"
8805943,ROBOTICS,Vladimir Lumelsky,Continuous Path Planning in Robotics Systems with Uncertainty,1/1/89,The proposed work will develop algorithms for motion planning of three-dimensional manipulators operating amidst unknown obstacles of arbitrary shape . The robot arms considered here are assumed to have a contact-sensitive sensory skin such as nearly all animals possess . ( Such arms are being developed in a parallel project at Yale . ) Prior studies of the two-dimensional case produced fast algorithms guaranteed to converge to a global position goal . This work will extend the simulation and mathematical analyses to three-dimensional arms of increasing complexity .
8715704,HUMAN COMPUTER INTER PROGRAM,John Smith,"Hypertext 87 : Workshop on Systems , Applications , and Issues ( To be held at the Univ of NC-Chapel Hill , Nov 13-15 , 1987 ) ( Computer and Information Science )",7/1/87,"Hypertext is an approach to information management in which data are stored in a network of nodes connected by links . Nodes can contain text , source code , graphics , audio , video , or other forms of data and are meant to be viewed and manipulated interactively . Hypertext '87 , to be held November 12-15 , 1987 at Chapel Hill , NC , will be the first large workshop/conference devoted to the sub- ject . Individuals with widely differing backgrounds and experi- ence with hypertext will be encouraged to participate in discus- sions of systems , applications , and issues ."
8812790,ROBOTICS,Drew McDermott,Spatial and Temporal Reasoning about Machines,2/15/89,"The objective of this project is to develop an algorithm for deriving concise behavioral descriptions of machine behavior from machine structure . Past work has led to a simulator that can analyze a wide variety of mechanisms kinematically , and simulate many of them to see what they will do . The simulator will be generalized , and used to run a loop analyzer that posits and tests regularities in behavior in order to produce hypotheses about what the mechanism will do indefinitely far into the future ."
8702600,"ROBOTICS, CROSS-DIRECTORATE PROGRAMS",Michael Conrad,Evolutionary Programming and Neural Computation ( Computer and Information Science ),6/15/87,"The goal of evolutionary programming is to develop systems which learn how to perform critical computing tasks through a variation and selection algorithm . The appproach taken in this research is based on the recognition that some structural organizations are well-suited to learning through evolution , while others are not . A system that achieves evolvability by simulating the structure-fashion relations that facilitate evolution in biological systems has been developed . Currently the system consists of simulated networks of dynamic neurons whose input-output behavior is controlled by membrane proteins . The variation and selection learning algorithm acts on the distribution of proteins . The organization is well-suited to evolution because improvement can always be achieved through single , reasonably likely application of the variation operator . The continuous dynamics displayed by the neurons also enhances the generalization capability of the system . The system is called a molecular design since it was inspired by biophysical and biochemical properties of neurons . However , the new efforts will be concerned with virtual implementations that would be useful in and of themselves and which could provide some insight into natural information processing . Specific objectives are : to incorporate richer nonlinear and cell automation dynamics , to add a memory manipulation capability , to implement the system as a preprocessor for high-level vision and process control tasks , and to create systems capable of long-term evolutionary improvement by applying the variation and selection operators to the dynamics ."
8718075,HUMAN COMPUTER INTER PROGRAM,Gary Marchionini,Mental Models for Adaptive Search Systemssss : A Theory for Information,7/1/88,"Adaptive information systems promise to augment human information seeking by cooperating with users to manage the cognitive burden of the search . Highly interactive ( hypertext ) systems for brows- ing databases can promote natural , low-cognitive load search strategies . Still lacking , however , is a scientific basis for designing user-oriented organizations of data or user-oriented views of database content . This research seeks to test aspects of a theory of information seeking which can explain users ' interactions with machines to find information . In particular , through experimental analysis of such interactions it examines users ' development and application of mental models of hypertext systems employed for that purpose . The research will contribute to an emerging theory of information seeking in electronic environments , guide designers of adaptive information systems , and facilitate the development of methods and materials for human information seeking ."
8701104,"THEORY OF COMPUTING, SOFTWARE ENGINEERING AND LANGU, SPECIAL PROGRAMS-RESERVE",Carl Smith,Inductive Inference and other topics in the Foundations of Computing ( Computer and Information Science ),7/1/87,"This project is for basic research in the foundations of computing . The major emphasis is in the area of inductive inference , the capabilities and limitations of computers to learn by example . Several problems dealing with multiple machine inference , probabilistic inference , and the complexity of inference will be studied . The problem of inductive inference is related to the problem of program testing . The continued exportation of ideas and techniques from the field of inductive inference to applications concerning the testing of programs will be a main focus of this research . Other problems under study include foundational issues concerning data flow architectures and implementations of applicative programming languages . Issues and problems concerning abstract complexity theory have come out of the preliminary work of a previous NSF project . The fundamental problem addressed in this research is to classify and otherwise delimit the space of complexity measures that apply to a given programming system ."
8907888,"DIGITAL SOCIETY&TECHNOLOGIES, CROSS-DIRECTORATE PROGRAMS",Katherine Klein,Implementing Information Technology : A Test of the Organizational Determinants of Technology Outcomes,6/15/89,"This is a Planning Grant Award under the Research Opportunities for Women Announcement , NSF 87-56 . This award is designed to result in a fully developed proposal to be submitted to the NSF at the end of the Planning Grant period . The implementation of computerized information technologies poses major challenges to organizations . Although offering substantial long-term benefits , the implementation of these technologies may alter familiar production processes and threaten established organizational hierarchies , power bases , social norms , communication patterns , job characteristics , and career paths . An organization 's ability to manage these challenges may determine the ultimate outcomes of technology implementation : ( 1 ) the extent to which the new technology is used ; ( 2 ) the gains in organizational performance attributable to the new technology ; and ( 3 ) the level of employee satisfaction with the new technology and with the organization as a whole . The proposed research is designed to assess the organizational determinants of these outcomes . The research develops a model of implementation problems and determinants of successful outcomes , develops a cross-sectional survey research design and develops appropriate measures for the model 's variables ."
8958546,INFORMATION & KNOWLEDGE MANAGE,Christos Faloutsos,Presidential Young Investigator Award,8/1/89,"This project is concerned with three areas of database research ; geometric data , text and multimedia filing sytems and multiple disk file allocations . In search of the best method to manage geometric data , several promising methods will be analyzed and implemented for comparison . Emphasis will be given to space filling curves and fractals , such as the Peano curve , the Hilbert curve , curves based on Gray codes , because they lead to good distance preserving mappings . The second project involves the development of a multimedia document filing system . The novel characteristics of the system is that it will use signature files for text retrieval , it will use optical disks for storage and it will allow static and animated images in the documents . Declustering techniques that store a file on multiple disks to maximize the parallellism will be studied . This goal is the inverse of the first project . The problem is to group unsimilar records on the same disk . A heuristic that uses information theory and error correcting codes , because the codewords of such codes are deliberately unsimilar has been developed . Preliminary experiments show that this heuristic consistently outperforms older ad hoc heuristics ."
8702177,ARTIFICIAL INTELL & COGNIT SCI,Clement Yu,Effective Information Retrieval ( Computer and Information Science ),8/1/87,"This research investigates schemes for describing documents which can achieve much higher recall and precision than existing techniques . The schemes use term frequency in an optimal way , significantly more effective than the binary independence model . The significance of this work is that the explosively growing number of documents available to scientists , engineers , and researchers in all fields can now only be handled effectively by computer systems . Current indexing systems operate rapidly , but must be improved to accurately retrieve the most relevant documents while retrieving very few irrelevant documents for any given query ."
8616833,"INFORMATION & KNOWLEDGE MANAGE, ARTIFICIAL INTELL & COGNIT SCI, CROSS-DIRECTORATE PROGRAMS, SPECIAL PROGRAMS-RESERVE",Christos Faloutsos,Signature File Methods for Text Data Bases ( Computer and Information Science ),7/1/87,"This research develops the design and analysis of efficient searching methods for text data bases . It utilizes a new method , called signature files , which works well for archival applications with very active updating . The method is especially suitable for optical disks . Specifically , signature files are compared with other indexing methods analytically and through simulation . Several alternative signature extraction methods are implemented and evaluated to verify analytical results , and integrated signature methods , which cover both the text itself and `` keyword '' attributes , are developed . To perform realistic experiments , a prototype retrieval system is used , which stores and retrieves abstracts of technical articles . This prototype is available to researchers at the University of Maryland , to assist them with literature searching and to give feedback to the system designers about what capabilities are needed and how the system is used . There is an enormous and increasing amount of scientific knowledge captured in the form of published articles and reports . This `` text database '' is far too large to be effectively used without computer assistance . Consequently , research on automatic retrieval methods , which allow effective and extensive searching to be done with computer systems , is of paramount scientific and practical importance ."
8802419,ROBOTICS,Laveen Kanal,Neural Network Architectures for the Direct Perception of 3D Motion and Depth,10/15/88,"A massively parallel approach to the tracking of rigid motions in image sequences can be based on a Lie-algebra formalism . This research will extend the theoretical basis of such neural-network visual analysis , with experimental verification via a Connection Machine simulation . The key insight is that instantaneous tracking of variations in Gibson 's `` flow of the optic array '' can be achieved by local wiring of Hoffman orbits derived from a canonical Lie decomposition . This is similar to repeated application of a Hough transform , but will here be combined with a new technique for exploiting `` momentum '' of the visual flow . Inspiration for this work comes from Pitts and McCulloch 's theory on the extraction of universals from transformation groups . The goal is to track objects simultaneously in position and depth , without first segmenting them from the optic field ."
8719458,INFORMATION & KNOWLEDGE MANAGE,Nicholas Roussopoulos,High Performance Engineering Information Systems,6/1/88,"We propose to develop High Performance Engineering Information System ( EIS ) based on Incremental Computation Models . These models utilize results of previous computations stored in persistent cache structures by merging them with new results obtained from computations performed on the incremental changes of the database . Because computation is performed on small increments rather than the whole database , incremental computation models achieve performances that are far beyond the reach of ordinary models . High performance EISs will be able to support engineering knowledge bases of significant size , explicit models of interdependent knowledge , optimization techniques for deductive queries , and efficient methods for organizing and accessing large numbers of engineering facts and rules . The persistent cache structures of the incremental models provide an innovative self-improving performance capability for computation intensive EICs ."
8802940,INFORMATION & KNOWLEDGE MANAGE,Timoleon Sellis,Multiple-Query Processing and Caching in Deductive Database Systems,9/1/88,"The implementation and performance of intelligent support mechanisms for query processing and optimization in deductive databases will be investigated . First , the efficient evaluation of multiply-defined rules will be examined . The evaluation of such rules results in the processing of more than one relational query . In contrast to the traditional single command-at-a-time optimization multiple-query optimization techniques can reduce the cost of processing a set of queries through sharing of common execution paths . The second major target is the idea of storing results of previously processed rules in secondary storage ( caching ) . Using a cache , the cost of processing a query can be reduced by preventing multiple evaluations of the same rules . Various techniques for implementing efficient caching mechanisms , including replacement policies and validation schemes will be evaluated . Addressing the above issues successfully will improve the ability of future deductive database systems to support non- traditional application areas , like engineering environments and artificial intelligence , which require the use of advanced control mechanisms such as rules ."
8802457,SPECIAL PROGRAMS-RESERVE,Hanan Samet,Spatial Data : Representations and Problems,9/1/88,"Successful solutions of problems in robotics , computer vision , image processing , and computer graphics are frequently intertwined with efficient representations of spatial data . Hierarchical representations of spatial data focus the work on the area in which the information has the greatest density . It is proposed to find solutions to spatial problems that make use of hierarchical data structures ; hierarchical solutions to path planning and polygon expansion will be attempted . The concept of neighbor-finding will be generalized , and the use of the active- border paradigm in octree construction will be explored . The surface spatial data type will be investigated . We will examine the question of whether spatial queries can be processed inteligently by the construction of an expert system interface that uses the representation of the spatial elements to which the query refers . Theoretical investigation of Delaunay triangulations will be continued . We will explore the relationship between hierarchical solutions to geometric problems , and those used in computational geometry based on the plane-sweep method . The feasibility of parallel solutions will be considered when possible ."
8713654,"CROSS-DIRECTORATE PROGRAMS, SPECIAL PROGRAMS-RESERVE, NSF PLANNING & EVALUATION",Margaret Dunham,MARS : The Design of a Main Memory Database ( Computer and Information Science ),9/1/87,"This research , sponsored through the Research Opportunities for Women ( ROW ) initiative , investigates main memory database ( MMDB ) design . Declining memory costs and demands for fast database access times have spurred great interest in the development of MMDB 's , where all or major portions of databases reside in the computer 's main memory . The Principal Investigator 's previous research into the factors which influence effective , recoverable MMDB design has been embodied in the MARS database system prototype . The research conducted here will develop further the requirements and characteristics of design support , including such elements as the novel addressing scheme using a set associative access to the stable memory . The overall objective of the MARS project is to actually implement a prototype MMDB system based upon this initial design . While that project will take several years , the purpose of this funded research is to produce a much more detailed design of the system . The importance of this research is that , by eliminating input/output bottlenecks , main memory databases may greatly improve the performance of knowledge based computer systems . This project represents one of the first efforts aimed specifically at designing , implementing , and evaluating a MMDB prototype ."
8900466,CROSS-DIRECTORATE PROGRAMS,Larry Medsker,Expert Systems Research with the Knowledge Engineer 's Workbench,3/15/89,"This is an award resulting from a submission in response to Program Announcement NSF 88-28 , Research Experience for Undergraduates . Under this award The American University will provide ten undergraduate students with training and support while they participate in ongoing research projects in the University 's Computer Science Department . The award recognizes the importance of hands-on experience in active research for training undergraduates for careers in mathematics , science and engineering , and that too few such experiences are now available . The University recruited most of the students from other institutions , in order to broaden the base for attracting students to scientific careers ."
8710855,ARTIFICIAL INTELL & COGNIT SCI,Chaitanya Baru,Database Processing on a Cube-Connected Multicomputer System ( Computer and Information Science ),9/1/87,"This project investigates novel algorithms for database processing in multicomputer systems . Parallel architectures for database processing need to incorporate both parallel processors ( CPU 's ) and parallel I/O ( disk access ) capability . This research is focused on a boolean n-cube connected architecture , with a disk attached to each node , thereby providing parallel I/O . The need to support parallel I/O gives rise to two important issues : data combination and non-uniform data distribution . Since the cube interconnection subsumes many other structures such as trees , rings , etc. , this property is exploited to efficiently support data combination in a variety of database operations such as Selection , Aggregation , Join , and Projection . The research involves both analytic and simulation study of various database operations under a variety of initial and intermediate data distribution conditions , using a 64-node hypercucbe . Modern fabrication techniques make it possible to produce hundreds or even thousands of computing elements ( processors ) at low cost . The significance of this research is that parallel processing algorithms are critical to harnessing the fabrication potential to produce real benefit for applications such as database processing . Support is provided under the Research Initiation activity for New Investigators ."
8904203,ARTIFICIAL INTELL & COGNIT SCI,Arthur Burks,Classifier Systems : Parallel Machine Learning with Higher- Level Building Blocks,8/1/89,"Classifier systems learn by means of a market economy of instructions ( classifiers ) and data ( messages ) . The system is computationally parallel since all classifiers may be applied to all messages simultaneously . Classifier systems discover by means of a genetic algorithm which creates promising new classifiers from successful ones . This genetic procedure conducts a parallel search for the building blocks of problem solutions . Classifier systems already exhibit successful learning and discovery , including the emergence and stability of both multilevel default hierarchies and chains of classifiers relevant to means of software packages developed for expressing problematic environments and for formulating classifier programs . The project will study the different roles of strength ( wealth ) , the roles of generality and specificity in hierarchies and classifier reproduction , and the emergence of building blocks . Adaptive systems which develop their own goals will also be covered . Our computer experiments are guided by a theory of adaptation . The fundamental theorem characterizes the rate at which the genetic algorithm samples the building blocks of useful models of the environment . We will extend this theorem to cover the discovery of regularities in rapidly changing environments ."
8902930,DIGITAL SOCIETY&TECHNOLOGIES,Gary Olson,Technology Support for Collaborative Workgroups,6/1/89,"This project examines how a small group of collaborators works together to design software requirements , and what impact -- good or bad -- the use of groupware ( integrated hardware/software for group processes ) might have on this process . Scientists from the University of Michigan will cooperate with colleagues from the Software Technology Program at Microelectronics and Computer Technology Corporation ( MCC ) and Arthur Andersen & Co . The specific projects represent the blending of skills in the building of computer systems , the empirical analysis of human behavior , and the application of theory , both from technology and from cognitive science , to the design and analysis of technology augmentations of work . The approach stresses the need to use a vision of future technology environments to navigate the design space of collaborative technology , but uses the science base of behavioral science on the one hand and computer science and information systems on the other to assist in the development of technology experiments . The research will pursue the following specific activities : Studies of current practice -- 1 . An analysis of collaboration from interview data already collected by MCC 2 . Observational studies of collaboration as they occur now ; Studies of groupware supported collaboration -- 3 . Studies of collaboration using MCC groupware prototypes 4 . Studies of collaboration using University of Michigan groupware prototypes . The project will use observational methods to study group behavior in situ , and will use successive generations of groupware prototypes as experimental tools for better understanding the collaborative process itself . The goal of the project is to contribute to the science base of collaboration theory , which is a blend of the behavioral sciences and the computer and information sciences interested in understanding how autonomous agents coordinate their behavior in the pursuit of a common task ."
8712686,CROSS-DIRECTORATE PROGRAMS,Daniel Hays,Knowledge Organization for Machine Systems : A Research Program for Undergraduate Students ( Computer and ( Information Science ),7/15/87,"This is an award resulting from a submission in response to Program Announcement NSF 86-81 , Research Experience for Undergraduates , 1987 . Under this award The University of Alabama will provide eight undergraduate students with training and support while they participate in ongoing research projects in the University 's Computer Science Department . The award recognizes the importance of hands-on experience in active research for training undergraduates for careers in mathematics , science and engineering , and that too few such experiences are now available . The University recruited some of the students from other institutions , in order to broaden the base for attracting students to scientific careers ."
8909983,INFORMATION & KNOWLEDGE MANAGE,Sanjay Manchanda,Supporting Objects in Deductive Databases,8/1/89,"This project will focus on the design and implementation issues of adding object identity , database schema templates , typing , and generalized database updates to deductive databases for increased modeling power and programming flexibility . All these features can be elegantly expressed within the framework of high order logic . The current logic programming and deductive database paradigm will be naturally extended to higher order logic by employing many sorted first order proof theory . The resulting data model should be efficiently implementable . Uniform treatment of data and logic program by the structuring and typing facilities will support the development of an expressive logic based database programming language , suitable for a broad range of applications ."
8711957,ROBOTICS,Terry Weymouth,Knowledge-Guided Detection of Inner Ear Hair Cells in Digitial Images ( Computer and Information Science ),12/1/87,"The designer of an automated scene understanding system needs to have a repertoire of methods for the effective representation of knowledge and access to a variety of methods for image processing . In addition , such a design process is helped by an understanding of methods for controlling search in the construction of solutions which combine uncertain evidence from multiple plausible interpretations . One strategy for adding to the available methods for scene understaning is to build successive systems for interpretation in increasingly difficult domains . This research , focuses on a domain that demands capabilities which exceed those of the current techniques . The project is aimed at developing a system for the automatic interpretation of tissue section images of hair cells of the organ of Corti in the inner ear . This domain is complex enough to engender the development of new techniques and tractable enough for study . Domain knowledge is available in the form of expectations for location , orientation , and geometric relations of objects , and in the form of expert protocol for interpretation . Because of the nature of the images , interpretation based only on local features is impractical , providing the opportunity to investigate methods for combining uncertain evidence from several sources under the guidance of domain knowledge . Further , interpretation requires the use of images from several focal planes , giving us the opportunity to investigate symbolic feedback in a combination of both data- driven and knowledge-controlled interpretation methods . Finally , results from human interpretation of slides provide clear standards for evalutiion of the system ."
